component,n,m,status,objective,elapsed_seconds,note
164,3,3,Optimal,1,0.06522487500001262,
165,3,3,Optimal,1,0.06597724999998889,
166,3,3,Optimal,1,0.05970162499998821,
167,3,3,Optimal,1,0.05729270799999142,
168,3,2,Optimal,2,0.05898641699999985,
169,3,3,Optimal,1,0.06194270800000368,
170,3,3,Optimal,1,0.05955850000000851,
171,3,3,Optimal,1,0.05971408399999234,
172,3,3,Optimal,1,0.05785412500000575,
173,3,3,Optimal,1,0.08303974999999753,
174,3,3,Optimal,1,0.07122354099999484,
175,3,3,Optimal,1,0.0577057080000003,
176,3,3,Optimal,1,0.06101754200000187,
177,2,1,Optimal,1,0.05168833300000131,
178,2,1,Optimal,1,0.05599387499999864,
179,2,1,Optimal,1,0.0709900829999981,
180,2,1,Optimal,1,0.05844579200000055,
181,2,1,Optimal,1,0.05913645799999756,
182,2,1,Optimal,1,0.05619541699999786,
183,2,1,Optimal,1,0.06007416699999624,
184,2,1,Optimal,1,0.060391374999994696,
185,2,1,Optimal,1,0.06221862499999986,
186,2,1,Optimal,1,0.05850874999998723,
187,2,1,Optimal,1,0.0521425000000022,
188,2,1,Optimal,1,0.051475874999994176,
189,2,1,Optimal,1,0.05904470800000183,
190,2,1,Optimal,1,0.06293241699999896,
191,2,1,Optimal,1,0.07818187499999851,
192,2,1,Optimal,1,0.06157525000000419,
193,2,1,Optimal,1,0.0604455410000071,
194,2,1,Optimal,1,0.06274808300000245,
195,2,1,Optimal,1,0.0575754580000023,
196,2,1,Optimal,1,0.05988312500001314,
197,2,1,Optimal,1,0.056387540999992325,
198,2,1,Optimal,1,0.05907683299999178,
199,2,1,Optimal,1,0.06419958399999359,
200,2,1,Optimal,1,0.061553375000002575,
201,2,1,Optimal,1,0.06033095800000865,
202,2,1,Optimal,1,0.06126366699999153,
203,2,1,Optimal,1,0.05254945900000507,
204,2,1,Optimal,1,0.059991708999987736,
205,2,1,Optimal,1,0.06077670900000953,
