profile,phase,graph_family,graph_id,n,m,d_input,d_eff,seed,solver,time_limit,random_trials,greedy_random_mean,greedy_random_std,greedy_random_best,greedy_min_degree,warm_start_size,ip_status,ip_incumbent,ip_upper_bound,ip_gap,ip_runtime_sec,threshold_logd,threshold_log1pd,threshold_2logd,first_moment_threshold,found_beyond_logd,proved_beyond_logd,proved_optimal,solution_valid,error
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed4,500,4994.0,20.0,19.976,4,CBC,300.0,100,74.46,3.671952113417647,83.0,94.0,94.0,TimeLimit,94.0,157.07,0.18,300.11350779199984,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed5,500,4978.0,20.0,19.912,5,CBC,300.0,100,75.56,3.297749462156202,87.0,100.0,100.0,TimeLimit,100.0,162.683,0.19,300.32711958300024,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed6,500,4914.0,20.0,19.656,6,CBC,300.0,100,75.69,3.027466854575877,83.0,98.0,98.0,TimeLimit,98.0,157.95299999999995,0.18,300.4372041659999,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed7,500,5044.0,20.0,20.176,7,CBC,300.0,100,73.88,3.3793191592091416,82.0,95.0,95.0,TimeLimit,95.0,158.839,0.19,300.122529667,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed8,500,5016.0,20.0,20.064,8,CBC,300.0,100,74.46,3.1922254040563973,82.0,95.0,95.0,TimeLimit,95.0,165.58300000000003,0.21,196.3390978330008,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed9,500,5031.0,20.0,20.124,9,CBC,300.0,100,75.19,3.430978892621778,84.0,97.0,97.0,TimeLimit,97.0,165.94299999999998,0.21,205.1727817080009,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed10,500,4997.0,20.0,19.988,10,CBC,300.0,100,74.82,3.282583363047088,80.0,95.0,95.0,TimeLimit,95.0,157.454,0.18,303.82349824999983,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed11,500,5025.0,20.0,20.1,11,CBC,300.0,100,75.1,3.2364714543384245,82.0,97.0,97.0,TimeLimit,97.0,165.255,0.2,301.31748891700045,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed12,500,4922.0,20.0,19.688,12,CBC,300.0,100,75.38,3.0642282795991145,83.0,95.0,95.0,TimeLimit,95.0,158.214,0.18,300.3452620829994,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed13,500,5054.0,20.0,20.216,13,CBC,300.0,100,75.33,3.6433279270247394,84.0,97.0,97.0,TimeLimit,97.0,159.98700000000002,0.19,300.8954171250007,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed14,500,4972.0,20.0,19.888,14,CBC,300.0,100,76.25,2.889811430008903,82.0,94.0,94.0,TimeLimit,94.0,157.784,0.19,301.0694059999987,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed15,500,4830.0,20.0,19.32,15,CBC,300.0,100,77.52,3.1478066758755796,85.0,96.0,96.0,TimeLimit,96.0,158.5,0.18,301.0572400410001,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed16,500,4835.0,20.0,19.34,16,CBC,300.0,100,76.89,3.626209307168292,85.0,95.0,95.0,TimeLimit,95.0,158.065,0.18,300.20384183399983,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed17,500,4980.0,20.0,19.92,17,CBC,300.0,100,76.74,3.374353660519689,84.0,99.0,99.0,TimeLimit,99.0,166.738,0.2,300.13876779199927,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed18,500,5011.0,20.0,20.044,18,CBC,300.0,100,75.28,3.0619199100161874,84.0,98.0,98.0,TimeLimit,98.0,165.24400000000003,0.2,300.1155662500005,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n500_seed19,500,5050.0,20.0,20.2,19,CBC,300.0,100,74.5,2.6072935772520514,80.0,96.0,96.0,TimeLimit,96.0,160.327,0.19,300.3206419580001,74.89330683884977,76.11306094308557,149.7866136776995,116.49797356953384,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed0,1000,10049.0,20.0,20.098,0,CBC,300.0,100,151.39,4.939829874795202,166.0,196.0,196.0,TimeLimit,196.0,352.45500000000004,0.24,95.03369708300124,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed1,1000,9996.0,20.0,19.992,1,CBC,300.0,100,151.91,4.27370395026907,163.0,192.0,192.0,TimeLimit,192.0,354.754,0.25,94.88784004099944,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed2,1000,10054.0,20.0,20.108,2,CBC,300.0,100,151.67,4.603588850346032,161.0,191.0,191.0,TimeLimit,191.0,352.98800000000006,0.25,46.81362887499927,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed3,1000,9933.0,20.0,19.866,3,CBC,300.0,100,149.95,4.056108997798284,162.0,191.0,191.0,TimeLimit,191.0,354.889,0.25,51.59077541700026,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed4,1000,9980.0,20.0,19.96,4,CBC,300.0,100,152.24,4.252438397347142,161.0,199.0,199.0,TimeLimit,199.0,357.71500000000003,0.25,10.182901000000127,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed5,1000,9927.0,20.0,19.854,5,CBC,300.0,100,152.17,4.5261418002488165,165.0,192.0,192.0,TimeLimit,192.0,360.982,0.26,7.882046790999084,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed6,1000,10010.0,20.0,20.02,6,CBC,300.0,100,151.88,4.8226737208919515,165.0,193.0,193.0,TimeLimit,193.0,353.22299999999996,0.25,302.772186167,149.78661367769953,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed7,1000,10024.0,20.0,20.048,7,CBC,300.0,100,150.76,4.610309045492449,169.0,193.0,193.0,TimeLimit,193.0,352.56100000000004,0.25,58.4135350000015,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed8,1000,10040.0,20.0,20.08,8,CBC,300.0,100,151.24,4.839066610056702,161.0,197.0,197.0,TimeLimit,197.0,358.278,0.25,7.509114209000472,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed9,1000,10107.0,20.0,20.214,9,CBC,300.0,100,150.73,4.609728404103213,169.0,187.0,187.0,TimeLimit,187.0,355.14200000000005,0.26,46.7046573330008,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed10,1000,10130.0,20.0,20.26,10,CBC,300.0,100,149.9,4.2888156166871285,161.0,184.0,184.0,TimeLimit,184.0,358.799,0.27,3.00222095800018,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed11,1000,10004.0,20.0,20.008,11,CBC,300.0,100,152.29,3.9550377030217088,160.0,192.0,192.0,TimeLimit,192.0,353.99,0.25,270.4367212500001,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed12,1000,9926.0,20.0,19.852,12,CBC,300.0,100,152.24,4.7887072547522855,162.0,194.0,194.0,TimeLimit,194.0,355.91200000000003,0.25,209.5911904579989,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed13,1000,9994.0,20.0,19.988,13,CBC,300.0,100,151.29,4.645612679907481,162.0,197.0,197.0,TimeLimit,197.0,353.49,0.24,264.06853200000114,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed14,1000,9846.0,20.0,19.692,14,CBC,300.0,100,152.51,4.732212842195327,165.0,195.0,195.0,TimeLimit,195.0,352.624,0.24,255.43991262499912,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
main,A_calibration,"G(n,d/n)",ER_d20_n1000_seed15,1000,9874.0,20.0,19.748,15,CBC,300.0,100,152.43,4.431874902511932,166.0,197.0,197.0,TimeLimit,197.0,356.173,0.25,295.88705704199856,149.7866136776995,152.22612188617114,299.57322735539907,232.99594713906768,True,False,False,True,
